,0
0,Arizona
1,Colorado
2,Delaware
3,Georgia
4,Idaho
5,Illinois
6,Indiana
7,Iowa
8,Kentucky
9,Maine
10,Maryland
11,Massachusetts
12,Minnesota
13,Missouri
14,Nebraska
15,New Hampshire
16,New Jersey
17,New Mexico
18,North Dakota
19,Oklahoma
20,Pennsylvania
21,Rhode Island
22,South Dakota
23,Tennessee
24,Vermont
25,Virginia
26,West Virginia
27,Wisconsin
28,Wyoming
